# Mouse<->human orthologs derived from MGI HOM_MouseHumanSequence.rpt
# Source: https://www.informatics.jax.org/downloads/reports/HOM_MouseHumanSequence.rpt
# Downloaded 2026-07-31. Regenerate with scripts/build_orthologs.py
mouse_symbol	human_symbol	relationship
Abhd17b	ABHD17B	1:1
Abhd17c	ABHD17C	1:1
Abhd18	ABHD18	1:1
Abhd2	ABHD2	1:1
Abhd3	ABHD3	1:1
Abhd4	ABHD4	1:1
Abhd5	ABHD5	1:1
Abhd6	ABHD6	1:1
Abhd8	ABHD8	1:1
Abi1	ABI1	1:1
Abi2	ABI2	1:1
Abi3	ABI3	1:1
Abi3bp	ABI3BP	1:1
Abitram	ABITRAM	1:1
Abl1	ABL1	1:1
Abl2	ABL2	1:1
Ablim1	ABLIM1	1:1
Ablim2	ABLIM2	1:1
Ablim3	ABLIM3	1:1
Abo	ABO	1:1
Abr	ABR	1:1
Abra	ABRA	1:1
Abracl	ABRACL	1:1
Abraxas1	ABRAXAS1	1:1
Abraxas2	ABRAXAS2	1:1
Abt1	ABT1	1:1
Abtb1	ABTB1	1:1
Abtb2	ABTB2	1:1
Abtb3	ABTB3	1:1
Acaa1a	ACAA1	1:1
Acaa1b	ACAA1	1:1
Acaa2	ACAA2	1:1
Acaca	ACACA	1:1
Acacb	ACACB	1:1
Acad10	ACAD10	1:1
Acad11	ACAD11	1:1
Acad12	ACAD10	1:1
Acad8	ACAD8	1:1
Acad9	ACAD9	1:1
Acadl	ACADL	1:1
Acadm	ACADM	1:1
Acads	ACADS	1:1
Acadsb	ACADSB	1:1
Acadvl	ACADVL	1:1
Acan	ACAN	1:1
Acap1	ACAP1	1:1
Acap2	ACAP2	1:1
Acap3	ACAP3	1:1
Acat1	ACAT1	1:1
Acat2	ACAT2	1:1
Acat3	ACAT2	1:1
Acbd3	ACBD3	1:1
Acbd4	ACBD4	1:1
Acbd5	ACBD5	1:1
Acbd6	ACBD6	1:1
Acbd7	ACBD7	1:1
Accs	ACCS	1:1
Accsl	ACCSL	1:1
Acd	ACD	1:1
Ace	ACE	1:1
Ace2	ACE2	1:1
Ace3	ACE3P	1:1
Acer1	ACER1	1:1
Acer2	ACER2	1:1
Acer3	ACER3	1:1
Ache	ACHE	1:1
Acin1	ACIN1	1:1
Ackr1	ACKR1	1:1
Ackr2	ACKR2	1:1
Ackr3	ACKR3	1:1
Ackr4	ACKR4	1:1
Ackr5	ACKR5	1:1
Acly	ACLY	1:1
Acmsd	ACMSD	1:1
Aco1	ACO1	1:1
Aco2	ACO2	1:1
Acod1	ACOD1	1:1
Acot1	ACOT1	many
Acot1	ACOT2	many
Acot10	ACOT9	1:1
Acot11	ACOT11	1:1
Acot12	ACOT12	1:1
Acot13	ACOT13	1:1
Acot2	ACOT2	1:1
Acot3	ACOT1	many
Acot3	ACOT2	many
Acot4	ACOT4	1:1
Acot5	ACOT1	many
Acot5	ACOT2	many
Acot6	ACOT6	1:1
Acot7	ACOT7	1:1
Acot8	ACOT8	1:1
Acot9	ACOT9	1:1
Acox1	ACOX1	1:1
Acox2	ACOX2	1:1
Acox3	ACOX3	1:1
Acoxl	ACOXL	1:1
Acp1	ACP1	1:1
Acp2	ACP2	1:1
Acp3	ACP3	1:1
Acp4	ACP4	1:1
Acp5	ACP5	1:1
Acp6	ACP6	1:1
Acp7	ACP7	1:1
Acr	ACR	1:1
Acrbp	ACRBP	1:1
Acrv1	ACRV1	1:1
Acsbg1	ACSBG1	1:1
Acsbg2	ACSBG2	1:1
Acsf2	ACSF2	1:1
Acsf3	ACSF3	1:1
Acsl1	ACSL1	1:1
Acsl3	ACSL3	1:1
Acsl4	ACSL4	1:1
Acsl5	ACSL5	1:1
Acsl6	ACSL6	1:1
Acsm1	ACSM1	1:1
Acsm2	ACSM2A	many
Acsm2	ACSM2B	many
Acsm3	ACSM3	1:1
Acsm4	ACSM4	1:1
Acsm5	ACSM5	1:1
Acss1	ACSS1	1:1
Acss2	ACSS2	1:1
Acss3	ACSS3	1:1
Acta1	ACTA1	1:1
Acta2	ACTA2	1:1
Actb	ACTB	1:1
Actbl2	ACTBL2	1:1
Actc1	ACTC1	1:1
Acte1	ACTE1P	1:1
Actg1	ACTG1	1:1
Actg2	ACTG2	1:1
Actl10	ACTL10	1:1
Actl11	ACTL11P	1:1
Actl6a	ACTL6A	1:1
Actl6b	ACTL6B	1:1
Actl7a	ACTL7A	1:1
Actl7b	ACTL7B	1:1
Actl9	ACTL9	1:1
Actmap	ACTMAP	1:1
Actn1	ACTN1	1:1
Actn2	ACTN2	1:1
Actn3	ACTN3	1:1
Actn4	ACTN4	1:1
Actr10	ACTR10	1:1
Actr1a	ACTR1A	1:1
Actr1b	ACTR1B	1:1
Actr2	ACTR2	1:1
Actr3	ACTR3	1:1
Actr3b	ACTR3B	1:1
Actr5	ACTR5	1:1
Actr6	ACTR6	1:1
Actr8	ACTR8	1:1
Actrt1	ACTRT1	1:1
Actrt2	ACTRT2	1:1
Actrt3	ACTRT3	1:1
Acvr1	ACVR1	1:1
Acvr1b	ACVR1B	1:1
Acvr1c	ACVR1C	1:1
Acvr2a	ACVR2A	1:1
Acvr2b	ACVR2B	1:1
Acvrl1	ACVRL1	1:1
Acy1	ACY1	1:1
Acy3	ACY3	1:1
Acyp1	ACYP1	1:1
Acyp2	ACYP2	1:1
Ada	ADA	1:1
Adad1	ADAD1	1:1
Adad2	ADAD2	1:1
Adam10	ADAM10	1:1
Adam11	ADAM11	1:1
Adam12	ADAM12	1:1
Adam15	ADAM15	1:1
Adam17	ADAM17	1:1
Adam18	ADAM18	1:1
Adam19	ADAM19	1:1
Adam1a	ADAM1A	1:1
Adam1b	ADAM1B	1:1
Adam2	ADAM2	1:1
Adam21	ADAM21	1:1
Adam22	ADAM22	1:1
Adam23	ADAM23	1:1
Adam24	ADAM24P	1:1
Adam25	ADAM20	1:1
Adam28	ADAM28	1:1
Adam29	ADAM29	1:1
Adam3	ADAM3A	1:1
Adam30	ADAM30	1:1
Adam32	ADAM32	1:1
Adam33	ADAM33	1:1
Adam39	ADAM20	1:1
Adam5	ADAM5	1:1
Adam6a	ADAM6	1:1
Adam7	ADAM7	1:1
Adam8	ADAM8	1:1
Adam9	ADAM9	1:1
Adamdec1	ADAMDEC1	1:1
Adamts1	ADAMTS1	1:1
Adamts10	ADAMTS10	1:1
Adamts12	ADAMTS12	1:1
Adamts13	ADAMTS13	1:1
Adamts14	ADAMTS14	1:1
Adamts15	ADAMTS15	1:1
Adamts16	ADAMTS16	1:1
Adamts17	ADAMTS17	1:1
Adamts18	ADAMTS18	1:1
Adamts19	ADAMTS19	1:1
Adamts2	ADAMTS2	1:1
Adamts20	ADAMTS20	1:1
Adamts3	ADAMTS3	1:1
Adamts4	ADAMTS4	1:1
Adamts5	ADAMTS5	1:1
Adamts6	ADAMTS6	1:1
Adamts7	ADAMTS7	1:1
Adamts8	ADAMTS8	1:1
Adamts9	ADAMTS9	1:1
Adamtsl1	ADAMTSL1	1:1
Adamtsl2	ADAMTSL2	1:1
Adamtsl3	ADAMTSL3	1:1
Adamtsl4	ADAMTSL4	1:1
Adamtsl5	ADAMTSL5	1:1
Adap1	ADAP1	1:1
Adap2	ADAP2	1:1
Adar	ADAR	1:1
Adarb1	ADARB1	1:1
Adarb2	ADARB2	1:1
Adat1	ADAT1	1:1
Adat2	ADAT2	1:1
Adat3	ADAT3	1:1
Adck1	ADCK1	1:1
Adck2	ADCK2	1:1
Adck5	ADCK5	1:1
Adcy1	ADCY1	1:1
Adcy10	ADCY10	1:1
Adcy2	ADCY2	1:1
Adcy3	ADCY3	1:1
Adcy4	ADCY4	1:1
Adcy5	ADCY5	1:1
Adcy6	ADCY6	1:1
Adcy7	ADCY7	1:1
Adcy8	ADCY8	1:1
Adcy9	ADCY9	1:1
Adcyap1	ADCYAP1	1:1
Adcyap1r1	ADCYAP1R1	1:1
Add1	ADD1	1:1
Add2	ADD2	1:1
Add3	ADD3	1:1
Adgb	ADGB	1:1
Adgra1	ADGRA1	1:1
Adgra2	ADGRA2	1:1
Adgra3	ADGRA3	1:1
Adgrb1	ADGRB1	1:1
Adgrb2	ADGRB2	1:1
Adgrb3	ADGRB3	1:1
Adgrd1	ADGRD1	1:1
Adgrd2-ps	ADGRD2	1:1
Adgre1	ADGRE1	1:1
Adgre4	ADGRE4P	1:1
Adgre5	ADGRE2	many
Adgre5	ADGRE5	many
Adgrf1	ADGRF1	1:1
Adgrf2	ADGRF2P	1:1
Adgrf3	ADGRF3	1:1
Adgrf4	ADGRF4	1:1
Adgrf5	ADGRF5	1:1
Adgrg1	ADGRG1	1:1
Adgrg2	ADGRG2	1:1
Adgrg3	ADGRG3	1:1
Adgrg4	ADGRG4	1:1
Adgrg5	ADGRG5	1:1
Adgrg6	ADGRG6	1:1
Adgrg7	ADGRG7	1:1
Adgrl1	ADGRL1	1:1
Adgrl2	ADGRL2	1:1
Adgrl3	ADGRL3	1:1
Adgrl4	ADGRL4	1:1
Adgrv1	ADGRV1	1:1
Adh1	ADH1A	many
Adh1	ADH1B	many
Adh1	ADH1C	many
Adh4	ADH4	1:1
Adh5	ADH5	1:1
Adh7	ADH7	1:1
Adhfe1	ADHFE1	1:1
Adi1	ADI1	1:1
Adig	ADIG	1:1
Adipoq	ADIPOQ	1:1
Adipor1	ADIPOR1	1:1
Adipor2	ADIPOR2	1:1
Adissp	ADISSP	1:1
Adk	ADK	1:1
Adm	ADM	1:1
Adm2	ADM2	1:1
Adnp	ADNP	1:1
Adnp2	ADNP2	1:1
Ado	ADO	1:1
Adora1	ADORA1	1:1
Adora2a	ADORA2A	1:1
Adora2b	ADORA2B	1:1
Adora3	ADORA3	1:1
Adpgk	ADPGK	1:1
Adprh	ADPRH	1:1
Adprhl1	ADPRHL1	1:1
Adprm	ADPRM	1:1
Adprs	ADPRS	1:1
Adra1a	ADRA1A	1:1
Adra1b	ADRA1B	1:1
Adra1d	ADRA1D	1:1
Adra2a	ADRA2A	1:1
Adra2b	ADRA2B	1:1
Adra2c	ADRA2C	1:1
Adrb1	ADRB1	1:1
Adrb2	ADRB2	1:1
Adrb3	ADRB3	1:1
Adrm1	ADRM1	1:1
Adrm1b	ADRM1	1:1
Adsl	ADSL	1:1
Adss1	ADSS1	1:1
Adss2	ADSS2	1:1
Adtrp	ADTRP	1:1
Aebp1	AEBP1	1:1
Aebp2	AEBP2	1:1
Aen	AEN	1:1
Afap1	AFAP1	1:1
Afap1l1	AFAP1L1	1:1
Afap1l2	AFAP1L2	1:1
Afdn	AFDN	1:1
Aff1	AFF1	1:1
Aff2	AFF2	1:1
Aff3	AFF3	1:1
Aff4	AFF4	1:1
Afg1l	AFG1L	1:1
Afg2a	AFG2A	1:1
Afg2b	AFG2B	1:1
Afg3l1	AFG3L1P	1:1
Afg3l2	AFG3L2	1:1
Afm	AFM	1:1
Afmid	AFMID	1:1
Afp	AFP	1:1
Aftph	AFTPH	1:1
Aga	AGA	1:1
Agap1	AGAP1	1:1
Agap2	AGAP2	1:1
Agap3	AGAP3	1:1
Agbl1	AGBL1	1:1
Agbl2	AGBL2	1:1
Agbl3	AGBL3	1:1
Agbl4	AGBL4	1:1
Agbl5	AGBL5	1:1
Ager	AGER	1:1
Agfg1	AGFG1	1:1
Agfg2	AGFG2	1:1
Aggf1	AGGF1	1:1
Agk	AGK	1:1
Agl	AGL	1:1
Agmat	AGMAT	1:1
Agmo	AGMO	1:1
Ago1	AGO1	1:1
Ago2	AGO2	1:1
Ago3	AGO3	1:1
Ago4	AGO4	1:1
Agpat1	AGPAT1	1:1
Agpat2	AGPAT2	1:1
Agpat3	AGPAT3	1:1
Agpat4	AGPAT4	1:1
Agpat5	AGPAT5	1:1
Agps	AGPS	1:1
Agr2	AGR2	1:1
Agr3	AGR3	1:1
Agrn	AGRN	1:1
Agrp	AGRP	1:1
Agt	AGT	1:1
Agtpbp1	AGTPBP1	1:1
Agtr1a	AGTR1	1:1
Agtr1b	AGTR1	1:1
Agtr2	AGTR2	1:1
Agtrap	AGTRAP	1:1
Agxt	AGXT	1:1
Agxt2	AGXT2	1:1
Ahctf1	AHCTF1	1:1
Ahcy	AHCY	1:1
Ahcyl	AHCY	1:1
Ahcyl1	AHCYL1	1:1
Ahcyl2	AHCYL2	1:1
Ahdc1	AHDC1	1:1
Ahi1	AHI1	1:1
Ahnak	AHNAK	1:1
Ahnak2	AHNAK2	1:1
Ahr	AHR	1:1
Ahrr	AHRR	1:1
Ahsa1	AHSA1	1:1
Ahsa2	AHSA2P	1:1
Ahsg	AHSG	1:1
Ahsp	AHSP	1:1
Aicda	AICDA	1:1
Aida	AIDA	1:1
Aif1	AIF1	1:1
Aif1l	AIF1L	1:1
Aifm1	AIFM1	1:1
Aifm2	AIFM2	1:1
Aifm3	AIFM3	1:1
Aig1	AIG1	1:1
Aim2	AIM2	1:1
Aimp1	AIMP1	1:1
Aimp2	AIMP2	1:1
Aip	AIP	1:1
Aipl1	AIPL1	1:1
Aire	AIRE	1:1
Airim	AIRIM	1:1
Airn	AIRN	1:1
Ajap1	AJAP1	1:1
Ajm1	AJM1	1:1
Ajuba	AJUBA	1:1
Ak1	AK1	1:1
Ak2	AK2	1:1
Ak3	AK3	1:1
Ak4	AK4	many
Ak4	AK4P3	many
Ak5	AK5	1:1
Ak6	AK6	1:1
Ak7	AK7	1:1
Ak8	AK8	1:1
Ak9	AK9	1:1
Akain1	AKAIN1	1:1
Akap1	AKAP1	1:1
Akap10	AKAP10	1:1
Akap11	AKAP11	1:1
Akap12	AKAP12	1:1
Akap13	AKAP13	1:1
Akap14	AKAP14	1:1
Akap17a	AKAP17A	1:1
Akap17b	AKAP17A	many
Akap17b	AKAP17BP	many
Akap19	AKAP19	1:1
Akap3	AKAP3	1:1
Akap4	AKAP4	1:1
Akap5	AKAP5	1:1
Akap6	AKAP6	1:1
Akap7	AKAP7	1:1
Akap8	AKAP8	1:1
Akap8l	AKAP8L	1:1
Akap9	AKAP9	1:1
Akip1	AKIP1	1:1
Akirin1	AKIRIN1	1:1
Akirin2	AKIRIN2	1:1
Akna	AKNA	1:1
Aknad1	AKNAD1	1:1
Akp3	ALPG	many
Akp3	ALPI	many
Akp3	ALPP	many
Akr1a1	AKR1A1	1:1
Akr1b1	AKR1B1	1:1
Akr1b10	AKR1B10	many
Akr1b10	AKR1B15	many
Akr1b7	AKR1B10	many
Akr1b7	AKR1B15	many
Akr1b8	AKR1B10	many
Akr1b8	AKR1B15	many
Akr1c12	AKR1C1	many
Akr1c12	AKR1C2	many
Akr1c12	AKR1C3	many
Akr1c12	AKR1C4	many
Akr1c13	AKR1C1	many
Akr1c13	AKR1C2	many
Akr1c13	AKR1C3	many
Akr1c13	AKR1C4	many
Akr1c14	AKR1C1	many
Akr1c14	AKR1C2	many
Akr1c14	AKR1C3	many
Akr1c14	AKR1C4	many
Akr1c18	AKR1C1	many
Akr1c18	AKR1C2	many
Akr1c18	AKR1C3	many
Akr1c18	AKR1C4	many
Akr1c19	AKR1C1	many
Akr1c19	AKR1C2	many
Akr1c19	AKR1C3	many
Akr1c19	AKR1C4	many
Akr1c20	AKR1C1	many
Akr1c20	AKR1C2	many
Akr1c20	AKR1C3	many
Akr1c20	AKR1C4	many
Akr1c21	AKR1C1	many
Akr1c21	AKR1C2	many
Akr1c21	AKR1C3	many
Akr1c21	AKR1C4	many
Akr1c6	AKR1C1	many
Akr1c6	AKR1C2	many
Akr1c6	AKR1C3	many
Akr1c6	AKR1C4	many
Akr1cl	AKR1C1	many
Akr1cl	AKR1C2	many
Akr1cl	AKR1C3	many
Akr1cl	AKR1C4	many
Akr1d1	AKR1D1	1:1
Akr1e1	AKR1E2	1:1
Akr7a5	AKR7A2	many
Akr7a5	AKR7A3	many
Akr7a5	AKR7L	many
Akt1	AKT1	1:1
Akt1s1	AKT1S1	1:1
Akt2	AKT2	1:1
Akt3	AKT3	1:1
Aktip	AKTIP	1:1
Alad	ALAD	1:1
Alas1	ALAS1	1:1
Alas2	ALAS2	1:1
Alb	ALB	1:1
Alcam	ALCAM	1:1
Aldh16a1	ALDH16A1	1:1
Aldh18a1	ALDH18A1	1:1
Aldh1a1	ALDH1A1	1:1
Aldh1a2	ALDH1A2	1:1
Aldh1a3	ALDH1A3	1:1
Aldh1a7	ALDH1A1	1:1
Aldh1b1	ALDH1B1	1:1
Aldh1l1	ALDH1L1	1:1
Aldh1l2	ALDH1L2	1:1
Aldh2	ALDH2	1:1
Aldh3a1	ALDH3A1	1:1
Aldh3a2	ALDH3A2	1:1
Aldh3b1	ALDH3B1	1:1
Aldh3b2	ALDH3B2	1:1
Aldh3b3	ALDH3B2	1:1
Aldh4a1	ALDH4A1	1:1
Aldh5a1	ALDH5A1	1:1
Aldh6a1	ALDH6A1	1:1
Aldh7a1	ALDH7A1	1:1
Aldh8a1	ALDH8A1	1:1
Aldh9a1	ALDH9A1	1:1
Aldoa	ALDOA	1:1
Aldob	ALDOB	1:1
Aldoc	ALDOC	1:1
Alg1	ALG1	many
Alg1	ALG1L2	many
Alg10	ALG10	many
